a ma tơ
tiêu chuẩn hoá
tiêu diệt chiến
tiếc hùi hụi
tiến hoá luận
tiếng mẹ đẻ
tiếng phổ thông
tiếng địa phương
tiết độ sứ
tiềm vọng kính
tiền hôn nhân
tiền khả thi
tiền khởi nghĩa
tiền liệt tuyến
tiền mãi lộ
tiền mãn kinh
tiền sử học
tiền âm phủ
tiền định luận
tiểu công nghiệp
tiểu công nghệ
tiểu gia súc
tiểu khí hậu
tiểu qui mô
tiểu quy mô
tiểu sản xuất
tiểu thuỷ nông
tiểu thị dân
tiểu thủ công
tiểu tuần hoàn
tiểu tư sản
tiểu đoàn bộ
tiểu đoàn trưởng
tiểu đăng khoa
tiểu đội trưởng
to tổ bố
toà giám mục
toà thượng thẩm
toàn cầu hoá
toán kinh tế
trang thiết bị
tranh dân gian
tranh hoành tráng
tranh khảm màu
tranh khắc gỗ
tranh khắc đồng
tranh sơn dầu
tranh sơn mài
tranh sơn thuỷ
tranh thuỷ mạc
tranh thuỷ mặc
tranh thần thoại
tranh tôn giáo
tranh tứ bình
tranh đồ hoạ
tre là ngà
tre đằng ngà
tre ấm bụi
trinh sát viên
trung bình cộng
trung bình nhân
trung lập hoá
trung thế kỉ
trung thế kỷ
trung đoàn bộ
trung đoàn trưởng
trung đội trưởng
truyền hình cáp
truyện cổ tích
truỵ tim mạch
tràn cung mây
trách nào mà
trân châu lùn
trình dược viên
trình soạn thảo
trăng lưỡi liềm
trơ mắt ếch
trơ thổ địa
trường bách nghệ
trường giáo dưỡng
trường sinh học
trường thuộc địa
trường đoản cú
trại cải tạo
trại mồ côi
trại tập trung
trần trùi trụi
trận địa chiến
trắc bách diệp
trắc địa học
trắc địa mỏ
trắng lôm lốp
trắng phau phau
trẻ cậy cha
trọc lông lốc
trống hông hốc
trồng cây chuối
trời có mắt
trời đất ơi
trợ động từ
trụi thui lủi
trụi thùi lụi
trừu tượng hoá
trực giác luận
trực thăng vận
tu nghiệp sinh
tu từ học
tuyên bố chung
tuyên truyền viên
tuyến giáp trạng
tuyến nội tiết
tuyến thượng thận
tuyến tiền liệt
tuần dương hạm
tuần trăng mật
tuốt tuồn tuột
tuổi hồi xuân
tàu con thoi
tàu há mồm
tàu khu trục
tàu sân bay
tàu tuần dương
tàu tuần tiễu
tàu tốc hành
tàu vũ trụ
tàu điện ngầm
tàu đổ bộ
tái lập trình
tái sản xuất
tái sắp xếp
tái sử dụng
tái tham gia
tái vũ trang
tái định cư
tâm lí chiến
tâm lí học
tâm lý chiến
tâm lý học
tâm sinh lí
tâm sinh lý
tâm thần học
tâm đối xứng
tây bán cầu
tên cúng cơm
tình báo viên
tình dục học
tình nguyện viên
tín dụng thư
tính giai cấp
tính nhân dân
tính nhân quả
tính tư tưởng
tính đồng nhất
tít mù tắp
tít thò lò
tóc rễ tre
tóc seo gà
tóc đuôi gà
tóp tòm tọp
tôm càng xanh
tôn giáo học
tú lơ khơ
túi du lịch
tĩnh điện kế
tơ hoá học
tơ lơ mơ
tư hữu hoá
tư lệnh trưởng
tư nhân hoá
tư vấn viên
tươi hơn hớn
tươi roi rói
tương lai học
tương đối luận
tạp phí lù
tản thực vật
tất tần tật
tầm nhìn xa
tẩy rửa tiền
tập hợp con
tập thể dục
tập thể hoá
tập đoàn quân
tập đại thành
tẻo tèo teo
tết nguyên đán
tỉ lệ nghịch
tỉ lệ thuận
tỉ lệ thức
tỉ lệ xích
tỉnh như không
tỉnh uỷ viên
tối huệ quốc
tối hậu thư
tối mò mò
tối mù mù
tối ưu hoá
tổ dân phố
tổ đổi công
tổng biên tập
tổng bãi công
tổng bí thư
tổng chỉ huy
tổng công hội
tổng công kích
tổng công ti
tổng công ty
tổng công đoàn
tổng cục trưởng
tổng diễn tập
tổng dự toán
tổng giám mục
tổng giám đốc
tổng hành dinh
tổng khởi nghĩa
tổng khủng hoảng
tổng kim ngạch
tổng liên đoàn
tổng lãnh sự
tổng ngân sách
tổng phát hành
tổng phản công
tổng quân uỷ
tổng sản lượng
tổng sản phẩm
tổng tham mưu
tổng thanh tra
tổng thư kí
tổng thư ký
tổng tiến công
tổng tuyển cử
tổng tư lệnh
tổng tấn công
tổng vệ sinh
tổng đình công
tổng đại diện
tổng động viên
tội gì mà
tội phạm học
tờ mờ đất
tụ huyết trùng
tủ chữa cháy
tứ đổ tường
từ kiêng kị
từ kiêng kỵ
từ lấp láy
từ nguyên học
từ phản nghĩa
từ trong trứng
từ trái nghĩa
từ vựng học
từ điển học
từ đồng nghĩa
từ đồng âm
tử vì đạo
tự do hoá
tự nhiên học
tự phê bình
tự phục vụ
tự động hoá
tỷ lệ nghịch
tỷ lệ thuận
tỷ lệ thức
tỷ lệ xích
uỷ nhiệm thư
van an toàn
vi khí hậu
vi phẫu thuật
vi sinh vật
vi xử lí
vi xử lý
vi điện tử
việc đã rồi
viện bảo tàng
viện dân biểu
viện hàn lâm
viện kiểm sát
viện quí tộc
viện quý tộc
viện đô sát
vong quốc nô
vua phá lưới
vung thiên địa
vung tàn tán
vuốt râu hùm
vành móng ngựa
vành đai trắng
vãi linh hồn
vòi hoa sen
vòng nguyệt quế
vòng tránh thai
vô chính phủ
vô cùng tận
vô căn cứ
vô gia cư
vô giá trị
vô giáo dục
vô hiệu hoá
vô hình trung
vô kì hạn
vô kỉ luật
vô kỳ hạn
vô kỷ luật
vô liêm sỉ
vô nguyên tắc
vô nhân đạo
vô sản hoá
vô thiên lủng
vô thần luận
vô thời hạn
vô thừa nhận
vô trách nhiệm
vô tuyến điện
vô tích sự
vô tư lự
vô tổ chức
vô tội vạ
vô ý thức
vô điều kiện
võ sĩ đạo
vú cao su
văn bản học
văn hoá phẩm
văn học sử
văn nghệ sĩ
văn phòng phẩm
vũ khí lạnh
vũ trụ quan
vườn bách thú
vườn bách thảo
vườn quốc gia
vườn địa đàng
vạ gì mà
vạn niên thanh
vạn vật học
vải giả da
vận trù học
vận tải biển
vận động chiến
vận động viên
vật chướng ngại
vật linh giáo
vật lí học
vật lý học
vật tự nó
vẹc bông lau
vết xe đổ
vệ quốc quân
vệ quốc đoàn
vệ sinh viên
vị hôn phu
vị hôn thê
vị thành niên
vốn cố định
vốn lưu động
vốn pháp định
vốn tự có
vốn điều lệ
vỡ kế hoạch
vợ chưa cưới
vụt một cái
vữa ba ta
xa bô chê
xa lăng lắc
xa vời vợi
xa xỉ phẩm
xanh hoà bình
xe bọc thép
xe cút kít
xe cơ giới
xe cải tiến
xe du lịch
xe gắn máy
xe lăn đường
xe lội nước
xe song mã
xe thổ mộ
xe điện ngầm
xem tử vi
xin âm dương
xoài thanh ca
xuyên tâm liên
xuất bản phẩm
xuất nhập cảnh
xuất nhập khẩu
xuất phát điểm
xuồng ba lá
xác như vờ
xáp lá cà
xã hội hoá
xã hội học
xã hội đen
xì căng đan
xương quai xanh
xước măng rô
xướng ngôn viên
xắn móng lợn
xếp bằng tròn
xốp xồm xộp
y bác sĩ
y như rằng
á nhiệt đới
ác cái là
áo ba lỗ
áo cà sa
áo cánh tiên
áo lọt lòng
áo năm thân
áo trấn thủ
áo tứ thân
áo vệ sinh
áo đại cán
át chủ bài
âm cơ bản
âm dương lịch
âm vị học
óc bã đậu
óc bè phái
ô tô buýt
ô tô ca
ô tô con
ô tô hòm
ô tô ray
ô xy già
ông ba mươi
ông tơ hồng
ông ăn chả
úm ba la
ý chí luận
ý thức hệ
ý trung nhân
ăn báo cô
ăn báo hại
ăn hối lộ
ăn phải bả
ăn phải đũa
ăn trả bữa
đa chương trình
đa dạng hoá
đa nguyên luận
đa phương hoá
đa phương tiện
đa thần giáo
đa thần luận
đa tác vụ
đa tư lự
đa xử lí
đa xử lý
đen lay láy
đen nghìn nghịt
đen nhay nháy
đen nhưng nhức
đen trùi trũi
đi bước nữa
đi chăng nữa
đi cổng sau
đi đường vòng
đi đại tiện
đi đằng đầu
điêu khắc gia
điều dưỡng viên
điều khiển học
điều kiện cần
điều kiện đủ
điều phối viên
điều tra viên
điển hình hoá
điện báo viên
điện hoá học
điện khí hoá
điện khí quyển
điện não đồ
điện sinh học
điện thoại viên
điện trở suất
điện tâm đồ
điện từ học
điện từ trường
điện tử hoá
điện tử học
điệp báo viên
điệu này thì
đoàn chủ tịch
đoàn ngoại giao
đoạn toa xe
đoạn đầu máy
đoạn đầu đài
đu đủ tía
đài hoá thân
đài khí tượng
đài phát thanh
đài thiên văn
đài truyền hình
đàn thập lục
đàn tơ rưng
đào lộn hột
đá hoa cương
đá nam châm
đá quả bóng
đá tai mèo
đá trầm tích
đá vân mẫu
đá ốp lát
đái tháo đường
đánh bò cạp
đánh chim sẻ
đánh chính diện
đánh công kiên
đánh du kích
đánh giao thông
đánh hào ngầm
đánh thọc sâu
đánh tiêu diệt
đánh tiêu hao
đánh trận địa
đánh trống lảng
đánh trống lấp
đánh trống ngực
đánh tung thâm
đánh vu hồi
đánh vận động
đánh vỗ mặt
đánh đàng xa
đánh đồng thiếp
đâu ra đấy
đâu vào đấy
đèn ba cực
đèn bán dẫn
đèn cao áp
đèn cảm ứng
đèn hoa kì
đèn hoa kỳ
đèn huỳnh quang
đèn khí đá
đèn kéo quân
đèn măng sông
đèn nê ông
đèn điện tử
đêm trừ tịch
đô ngự sử
đô thị hoá
đông bán cầu
đông nam bộ
đông nghìn nghịt
đùa với lửa
đùng một cái
đĩa quang học
đơn bản vị
đơn giản hoá
đơn tinh thể
đơn tử diệp
đường cao tốc
đường chim bay
đường cái quan
đường cơ sở
đường dây nóng
đường gấp khúc
đường hàng hải
đường hàng không
đường lánh nạn
đường lối chung
đường phân giác
đường quốc lộ
đường tiệm cận
đường trung bình
đường trung trực
đường trắc địa
đường tỉnh lộ
đường vành đai
đường xoáy ốc
đường xoắn ốc
đường xương cá
đường đoản trình
đường đồng mức
được cái là
được mỗi cái
được một cái
đại bản doanh
đại bộ phận
đại cao thủ
đại cà sa
đại công nghiệp
đại cử tri
đại danh từ
đại gia súc
đại gia đình
đại gian ác
đại học sĩ
đại hồ cầm
đại hồng thuỷ
đại hội đồng
đại hợp xướng
đại lễ đường
đại nguyên soái
đại nguyên suý
đại qui mô
đại quy mô
đại số học
đại sứ quán
đại thuỷ nông
đại trượng phu
đại tuần hoàn
đại tư bản
đại đa số
đại điền chủ
đại đoàn kết
đại đăng khoa
đại địa chủ
đại đội trưởng
đạn bọc đường
đạn đum đum
đạo đức học
đảng uỷ viên
đất cát pha
đất dụng võ
đất thịt pha
đấu giao hữu
đấu vòng tròn
đầu mục từ
đậu cô ve
đậu dải áo
đậu phụ nhự
đặc phái viên
địa chấn học
địa chấn kí
địa chấn ký
địa chất học
địa cốt bì
địa hoá học
địa kiến tạo
địa lí học
địa lý học
địa mạo học
địa tầng học
địa vật lí
địa vật lý
địa đạo chiến
định hướng từ
định lí đảo
định mệnh luận
đỏ chon chót
đỏ con mắt
đỏ hoen hoét
đỏ hon hỏn
đỏ quành quạch
đỏ đòng đọc
đốc phủ sứ
đối ngẫu hôn
đồ tế nhuyễn
đồng hồ tổng
đồng mắt cua
đồng tác giả
đồng vị ngữ
đổ hào quang
đổ đom đóm
độ chính xác
độ phân giải
độc thần luận
đội quân nhạc
động cơ nhiệt
động cơ điện
động lực học
động mạch vành
động thực vật
động vật học
độp một cái
đột phá khẩu
đới địa chất
đới địa lí
đới địa lý
đức ông chồng
đừng có trách
ưu khuyết điểm
ưu nhược điểm
ước số chung
ướt rườn rượt
ướt sườn sượt
ảo thuật gia
ấn loát phẩm
ấp chiến lược
ấp dân sinh
ấu trĩ viên
ốc bươu vàng
ốc xà cừ
ống tay áo
ổ đĩa cứng
ổ đề kháng
ớt chỉ thiên
ớt cà chua
ứng cử viên
