a ma tơ
câu lạc bộ
cây bóng mát
cây công nghiệp
cây cổ thụ
cây hoa màu
cây lau nhà
cây lâu năm
cây lương thực
cây lấy dầu
cây nguồn mật
cây nông nghiệp
cây phủ đất
cây thân cỏ
cây thân gỗ
cây thân thảo
cây ăn quả
cây ăn trái
còn mồ ma
còn phải nói
có bề gì
có bề nào
có lẽ nào
có máu mặt
cô nhi viện
côn trùng học
công an viên
công binh xưởng
công chứng viên
công dã tràng
công hữu hoá
công khai hoá
công kiên chiến
công nghiệp hoá
công nghiệp nhẹ
công nghiệp nặng
công nghiệp sạch
công nghệ cao
công nghệ học
công nghệ phẩm
công nghệ sạch
công nghệ xanh
công nhân viên
công nông binh
công nông nghiệp
công sứ quán
công thương gia
công thương nghiệp
công ti con
công ti mẹ
công trình phụ
công trình sư
công ty con
công ty mẹ
công tác phí
công tơ tổng
công tố viên
công tố viện
công tử bột
công tử vỏ
công viên nước
công đoàn phí
công đoàn vàng
cùng kì lí
cùng kỳ lý
cú pháp học
cúc vạn thọ
cúm gia cầm
căn cứ địa
cũng quá tội
cơ chừng này
cơ giới hoá
cơ khí hoá
cơ khí học
cơ thể học
cơm bình dân
cưới chạy tang
cười miếng chi
cười nắc nẻ
cười sằng sặc
cười vỡ bụng
cảm giác luận
cảng hàng không
cảnh đặc tả
cấp số cộng
cấp số nhân
cấp thoát nước
cấp uỷ viên
cầu hàng không
cầu thang cuốn
cầu thang máy
cầu thăng bằng
cầu truyền hình
cầy bông lau
cầy móc cua
cận nhiệt đới
cặp ba lá
cặp bài trùng
cỏ bạc đầu
cỏ lồng vực
cỏ mần trầu
cỏ roi ngựa
cỏ sâu róm
cối chày đạp
cối xay gió
cốt khí muồng
cổ lai hi
cổ lai hy
cổ lỗ sĩ
cổ phần hoá
cổ sinh vật
cổ tiền học
cổ tự học
cổ địa lí
cổ địa lý
cổ động viên
cỗ lỗ sĩ
cộng sự viên
cộng tác viên
cột thu lôi
cờ chân chó
cờ lông công
cờ đuôi nheo
cụ thể hoá
cụm cứ điểm
cụt thun lủn
củ bình vôi
củ cải đường
của đáng tội
cứ cho là
cửa bức bàn
cửa hàng trưởng
cửa lá sách
cửa tò vò
cửa từ bi
cửu lí hương
cực chẳng đã
cựu chiến binh
cựu học sinh
da bánh mật
da bọc xương
da đồi mồi
danh từ chung
danh từ riêng
dao chìa vôi
dao hai lưỡi
dao động kí
dao động đồ
di truyền học
dinh điền sứ
diện tích phụ
diệp lục tố
du học sinh
duy danh luận
duy linh luận
duy ngã luận
duy tâm luận
duy vật luận
duy ý chí
duyên kì ngộ
duyên kỳ ngộ
dài dằng dặc
dài ngoằng ngoẵng
dài thườn thượt
dài đuồn đuỗn
dày cồm cộp
dân chi phụ
dân chủ hoá
dân số học
dân tộc hoá
dân tộc học
dân tộc tính
dâu da xoan
dây khoá kéo
dây kẽm gai
dây nối đất
dây thép gai
dây thần kinh
dây tiếp địa
dé chân chèo
dép quai hậu
dư địa chí
dạ dày cơ
dạ dày tuyến
dạ lan hương
dạ lá sách
dạ lí hương
dạ lý hương
dạ minh sa
dạ múi khế
dạ tổ ong
dại gì mà
dải phân cách
dải đồng tâm
dấu chấm hỏi
dấu chấm lửng
dấu chấm phẩy
dấu chấm than
dấu gạch ngang
dấu gạch nối
dấu hai chấm
dầu bạc hà
dầu con hổ
dầu cù là
dầy cồm cộp
dẫn chương trình
dịch tễ học
dửng dừng dưng
dửng tóc gáy
dựng tóc gáy
gai cột sống
gan chí mề
gan cóc tía
ghe bản lồng
gia đình trị
giao thông hào
giao thông tĩnh
giao thông viên
giun móc câu
già cậy con
già cốc đế
già khú đế
giày ba ta
giày bát kết
giày mõm nhái
giá cạnh tranh
giá sinh hoạt
giá treo cổ
giám định viên
giám đốc thẩm
giáo dục học
giáo dục viên
giáo học pháp
giáp lá cà
giâu gia xoan
gió heo may
gió mùa đông
giương mắt ếch
giả ba ba
giả tỉ như
giả tỷ như
giải phóng quân
giải phẫu học
giấc hoàng lương
giấc kê vàng
giấy bao gói
giấy bóng kính
giấy chứng minh
giấy căn cước
giấy dó lụa
giấy thông hành
giấy trang kim
giấy tăng xin
giấy vệ sinh
giấy đánh máy
giật cánh khuỷu
giết thì giờ
giọng gà tồ
giờ chính thức
giờ hoàng đạo
giờ hành chính
giờ quốc tế
giờ địa phương
giời đất ơi
gà công nghiệp
gà hoa mơ
gà lơ go
gà mái ghẹ
gàn bát sách
gác đờ bu
gác đờ sên
gái bán hoa
gái giang hồ
gái theo chồng
gì thì gì
góc bù nhau
góc học tập
góc kề bù
góc nhị diện
góc đa diện
góc đối đỉnh
gõ đầu trẻ
gương tày liếp
gương tầy liếp
gạch chịu lửa
gạch lá nem
gạch men sứ
gạch thông tâm
gạch ốp lát
gấu ăn trăng
gọn thon lỏn
gỏi sinh cầm
hai lá mầm
hai mươi bảy
hai mươi hai
hai phần ba
hi thiêm thảo
hiện tượng học
hiện tượng luận
hiện đại hoá
hiệp tác hoá
hiệp định khung
hiệu thính viên
hiệu điện thế
hoa bồ câu
hoa loa kèn
hoa lá cành
hoa mép dê
hoa mõm chó
hoa mõm sói
hoa mười giờ
hoa ti gôn
hoa đồng tiền
hoà cả làng
hoàng thái hậu
hoàng thái tử
hoành cách mô
hoá mĩ phẩm
hoá mỹ phẩm
hoá sinh học
hoạt náo viên
hoả diệm sơn
hoả đầu quân
huyết sắc tố
huyết áp cao
huyết áp thấp
huyện uỷ viên
huấn luyện viên
hà thủ ô
hàn lâm viện
hàn thử biểu
hàng chiến lược
hàng tiêu dùng
hành tá tràng
hào chiến đấu
hào giao thông
hái ra tiền
hát ru con
hét ra lửa
hình bình hành
hình bầu dục
hình chóp cụt
hình chữ nhật
hình cầu phân
hình dung từ
hình học phẳng
hình không gian
hình lăng trụ
hình lập phương
hình nhi hạ
hình nhi thượng
hình nón cụt
hình quạt tròn
hình tam giác
hình thái học
hình tròn xoay
hình viên phân
hình vành khăn
hò mái nhì
hò mái đẩy
hăng máu vịt
hăng tiết vịt
hơi đâu mà
hơn bù kém
hươu cao cổ
hướng dẫn viên
hướng đạo sinh
hạ nghị sĩ
hạ nghị viện
hạ sĩ quan
hạ tắc loạn
hạt cơ bản
hải dương học
hầm trú ẩn
hầm ẩn nấp
hậu trách nhân
hắc tinh tinh
hắc xì dầu
hắt xì hơi
hằng đẳng thức
hết chỗ nói
hệ miễn dịch
hệ miễn nhiễm
hệ sinh thái
hệ thống hoá
hệ thống đếm
hệ tư tưởng
hệ điều hành
hệ đơn vị
hối bất cập
hồ chủ tịch
hồ chứa nước
hồ li tinh
hồ ly tinh
hồng huyết cầu
hồng thập tự
hội hợp thiện
hội ái hữu
hộp chữa cháy
hộp giảm tốc
hộp tốc độ
hợp kim màu
hợp lí hoá
hợp lý hoá
hợp pháp hoá
hợp thức hoá
hợp tác hoá
hợp tác viên
hợp tác xã
hữu thần luận
hữu định luận
im phăng phắc
im thin thít
in li tô
in thạch bản
in ti pô
keo tai tượng
khinh khí cầu
khinh kị binh
khinh kỵ binh
khoáng sàng học
khoáng vật học
khoẻ như vâm
khu chế xuất
khu công nghiệp
khu trù mật
khu trục hạm
khu tập thể
khu tự trị
khu đô thị
khung hình phạt
khuỳnh tay ngai
khách qua đường
khách vãng lai
khái quát hoá
khán thính giả
khâm thiên giám
khét lèn lẹt
khí hậu học
khí thiên nhiên
khí tĩnh học
khí tượng học
khí áp kế
khí động học
khít khìn khịt
khó đăm đăm
khóc dạ đề
khô dầu lá
khô không khốc
không biết chừng
không bờ bến
không mấy khi
không thể nào
không tài gì
không tài nào
khúc côn cầu
khăn mỏ quạ
khăn quàng đỏ
khăn đầu rìu
khải hoàn ca
khải hoàn môn
khảo cổ học
khẩu đội trưởng
khắm lằm lặm
khỉ dạng người
khỏi phải nói
khốn một nỗi
khổ một nỗi
khổ nhục kế
khổ sâm nam
